date,temp_max,temp_min,temp_mean,temp_change,persistence_forecast,persistence_error
2025-12-01,43.6,31.3,38.2,,,
2025-12-02,39.0,30.0,35.0,-4.600000000000001,43.6,-4.600000000000001
2025-12-03,39.7,30.2,34.3,0.7000000000000028,39.0,0.7000000000000028
2025-12-04,41.9,24.4,33.0,2.1999999999999957,39.7,2.1999999999999957
2025-12-05,30.6,19.5,26.1,-11.299999999999997,41.9,-11.299999999999997
2025-12-06,40.0,30.0,33.7,9.399999999999999,30.6,9.399999999999999
2025-12-07,41.1,29.5,35.4,1.1000000000000014,40.0,1.1000000000000014
2025-12-08,35.8,23.2,28.4,-5.300000000000004,41.1,-5.300000000000004
2025-12-09,32.2,17.0,25.4,-3.5999999999999943,35.8,-3.5999999999999943
2025-12-10,44.3,31.4,37.3,12.099999999999994,32.2,12.099999999999994
2025-12-11,39.3,28.0,33.3,-5.0,44.3,-5.0
2025-12-12,34.8,23.4,28.8,-4.5,39.3,-4.5
2025-12-13,38.7,24.9,31.5,3.9000000000000057,34.8,3.9000000000000057
2025-12-14,32.9,17.8,27.1,-5.800000000000004,38.7,-5.800000000000004
2025-12-15,26.5,17.1,21.2,-6.399999999999999,32.9,-6.399999999999999
2025-12-16,28.2,16.0,22.6,1.6999999999999993,26.5,1.6999999999999993
2025-12-17,39.9,21.2,32.0,11.7,28.2,11.7
2025-12-18,46.9,25.5,36.7,7.0,39.9,7.0
2025-12-19,57.9,30.6,48.4,11.0,46.9,11.0
2025-12-20,36.8,29.0,32.5,-21.1,57.9,-21.1
2025-12-21,45.9,28.4,36.4,9.100000000000001,36.8,9.100000000000001
2025-12-22,37.4,27.8,31.6,-8.5,45.9,-8.5
2025-12-23,38.4,32.9,35.1,1.0,37.4,1.0
2025-12-24,45.5,30.3,38.1,7.100000000000001,38.4,7.100000000000001
2025-12-25,46.8,26.8,35.6,1.2999999999999972,45.5,1.2999999999999972
2025-12-26,27.6,20.3,24.2,-19.199999999999996,46.8,-19.199999999999996
2025-12-27,30.3,18.8,25.6,2.6999999999999993,27.6,2.6999999999999993
2025-12-28,35.6,13.9,22.9,5.300000000000001,30.3,5.300000000000001
2025-12-29,43.5,29.0,38.1,7.899999999999999,35.6,7.899999999999999
2025-12-30,31.9,26.5,29.8,-11.600000000000001,43.5,-11.600000000000001
2025-12-31,31.7,26.1,28.3,-0.1999999999999993,31.9,-0.1999999999999993
