timestamp,price,probability,threshold,threshold_display,question
2026-01-15 06:30:17-05:00,0.48,0.48,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 06:40:13-05:00,0.48,0.48,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 06:50:25-05:00,0.315,0.315,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 07:00:20-05:00,0.315,0.315,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 07:10:12-05:00,0.28,0.28,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 07:20:13-05:00,0.255,0.255,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 07:30:17-05:00,0.07,0.07,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 07:40:12-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 07:50:12-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 08:00:18-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 08:10:12-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 08:20:15-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 08:30:28-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 08:40:13-05:00,0.07,0.07,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 08:50:14-05:00,0.07,0.07,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 09:00:16-05:00,0.07,0.07,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 09:10:13-05:00,0.07,0.07,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 09:20:13-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 09:30:17-05:00,0.07,0.07,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 09:40:12-05:00,0.07,0.07,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 09:50:13-05:00,0.07,0.07,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 10:00:18-05:00,0.07,0.07,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 10:10:37-05:00,0.07,0.07,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 10:20:12-05:00,0.075,0.075,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 10:30:16-05:00,0.075,0.075,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 10:40:15-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 10:50:13-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 11:00:16-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 11:10:14-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 11:20:14-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 11:30:17-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 11:40:13-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 11:50:17-05:00,0.06,0.06,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 12:00:21-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 12:10:14-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 12:20:15-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 12:30:17-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 12:40:14-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 12:50:15-05:00,0.07,0.07,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 13:00:22-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 13:10:16-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 13:20:15-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 13:30:20-05:00,0.065,0.065,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 13:40:14-05:00,0.045,0.045,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 13:50:14-05:00,0.05,0.05,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 14:00:21-05:00,0.045,0.045,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 14:10:15-05:00,0.045,0.045,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 14:20:15-05:00,0.035,0.035,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 14:30:19-05:00,0.0345,0.0345,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 14:40:15-05:00,0.034,0.034,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 14:50:18-05:00,0.0305,0.0305,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 15:00:19-05:00,0.031,0.031,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 15:10:18-05:00,0.0305,0.0305,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 15:20:15-05:00,0.031,0.031,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 15:30:31-05:00,0.031,0.031,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 15:40:14-05:00,0.0445,0.0445,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 15:50:15-05:00,0.0495,0.0495,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 16:00:23-05:00,0.0495,0.0495,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 16:10:14-05:00,0.0495,0.0495,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 16:20:15-05:00,0.0495,0.0495,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 16:30:17-05:00,0.021,0.021,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 16:40:14-05:00,0.0225,0.0225,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 16:50:17-05:00,0.0195,0.0195,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 17:00:17-05:00,0.0195,0.0195,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 17:10:14-05:00,0.0195,0.0195,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 17:20:14-05:00,0.0195,0.0195,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 17:30:18-05:00,0.0195,0.0195,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 17:40:26-05:00,0.0195,0.0195,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 17:50:14-05:00,0.0195,0.0195,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 18:00:18-05:00,0.0195,0.0195,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 18:10:16-05:00,0.0195,0.0195,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 18:20:15-05:00,0.0195,0.0195,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
2026-01-15 18:30:18-05:00,0.0195,0.0195,34-35,34-35°F,Will the highest temperature in New York City be between 34-35°F on January 17?
